job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,salary_min,salary_max,salary_avg,skills_count,posted_year,posted_month,posted_quarter,days_since_posted,experience_order
1,Foster and Sons,Healthcare,Data Analyst,numpy;reinforcement learning;pytorch;scikit-learn;gcp;fastapi,Mid,Full-time,"Tracybury, AR",92860-109598,2025-08-20,Large,kdb+;langchain,92860.0,109598.0,101229.0,6,2025,8,3,41,1
2,"Boyd, Myers and Ramirez",Tech,Computer Vision Engineer,scikit-learn;cuda;sql;pandas,Senior,Full-time,"Lake Scott, CU",78523-144875,2024-03-22,Large,fastapi;kdb+;tensorflow,78523.0,144875.0,111699.0,4,2024,3,1,557,2
3,King Inc,Tech,Quant Researcher,mlflow;fastapi;azure;pytorch;sql;gcp,Entry,Full-time,"East Paige, CM",124496-217204,2025-09-18,Large,bigquery;pytorch;scikit-learn,124496.0,217204.0,170850.0,6,2025,9,3,12,0
4,"Cooper, Archer and Lynch",Tech,AI Product Manager,scikit-learn;c++;pandas;langchain;aws;r,Mid,Full-time,"Perezview, FI",50908-123743,2024-05-08,Large,tensorflow;bigquery;mlflow,50908.0,123743.0,87325.5,6,2024,5,2,510,1
5,Hall LLC,Finance,Data Scientist,excel;keras;sql;hugging face,Senior,Contract,"North Desireeland, NE",98694-135413,2025-02-24,Large,pytorch;langchain,98694.0,135413.0,117053.5,4,2025,2,1,218,2
6,Ellis PLC,E-commerce,AI Product Manager,gcp;excel;scikit-learn;mlflow,Senior,Remote,"South Kevin, TZ",92632-180718,2025-08-07,Large,pytorch;tensorflow;fastapi,92632.0,180718.0,136675.0,4,2025,8,3,54,2
7,Matthews-Moses,Automotive,Data Analyst,python;flask;scikit-learn;gcp,Mid,Full-time,"West Shawn, LR",70575-88594,2024-12-23,Large,pytorch;mlflow,70575.0,88594.0,79584.5,4,2024,12,4,281,1
8,Mullins Ltd,Education,Data Scientist,excel;sql;flask,Entry,Internship,"Port Hailey, RU",63032-82144,2024-08-14,Large,bigquery,63032.0,82144.0,72588.0,3,2024,8,3,412,0
9,Aguilar PLC,Healthcare,ML Engineer,pandas;langchain;gcp;azure,Entry,Internship,"Butlermouth, GB",134239-188504,2025-09-15,Large,scikit-learn;langchain;bigquery,134239.0,188504.0,161371.5,4,2025,9,3,15,0
10,Parks LLC,Automotive,Computer Vision Engineer,excel;reinforcement learning;tensorflow,Senior,Full-time,"Nicoleshire, BA",79361-165029,2025-08-07,Large,mlflow;tensorflow,79361.0,165029.0,122195.0,3,2025,8,3,54,2
11,Vaughan-Ortiz,Tech,Data Scientist,keras;mlflow;reinforcement learning,Entry,Internship,"New Angelatown, LU",99964-125971,2024-01-10,Large,langchain;bigquery;scikit-learn,99964.0,125971.0,112967.5,3,2024,1,1,629,0
12,"Johnson, Guzman and Hernandez",Finance,ML Engineer,excel;reinforcement learning;keras;scikit-learn,Entry,Full-time,"Joychester, LT",63583-132670,2024-03-15,Large,tensorflow;pytorch;bigquery,63583.0,132670.0,98126.5,4,2024,3,1,564,0
13,Martin and Sons,E-commerce,NLP Engineer,c++;hugging face;python;fastapi,Entry,Full-time,"South Michael, FM",102770-117026,2023-09-27,Startup,langchain,102770.0,117026.0,109898.0,4,2023,9,3,734,0
14,Frank-Duarte,Retail,Quant Researcher,excel;mlflow;numpy;hugging face;langchain;fastapi,Senior,Full-time,"Christianberg, GQ",137004-193975,2024-11-20,Mid,langchain;tensorflow;scikit-learn,137004.0,193975.0,165489.5,6,2024,11,4,314,2
15,Rogers Ltd,Education,NLP Engineer,pandas;cuda;numpy;fastapi,Mid,Remote,"New Katieborough, FJ",129842-216741,2024-07-08,Large,fastapi,129842.0,216741.0,173291.5,4,2024,7,3,449,1
16,Wright-Evans,Automotive,NLP Engineer,hugging face;scikit-learn;reinforcement learning,Senior,Remote,"Stephaniechester, LU",124669-217866,2024-04-06,Startup,tensorflow,124669.0,217866.0,171267.5,3,2024,4,2,542,2
17,Preston Ltd,E-commerce,ML Engineer,mlflow;r;c++,Entry,Full-time,"South Tim, CZ",137523-180097,2025-05-14,Mid,langchain,137523.0,180097.0,158810.0,3,2025,5,2,139,0
18,Smith-Moore,Automotive,AI Product Manager,excel;mlflow;hugging face;flask;power bi,Entry,Internship,"Blevinsburgh, VU",138184-192857,2024-04-29,Startup,bigquery,138184.0,192857.0,165520.5,5,2024,4,2,519,0
19,Webb and Sons,Healthcare,Data Scientist,aws;azure;power bi;cuda;reinforcement learning;hugging face,Senior,Remote,"Parkmouth, CA",100845-159745,2024-10-19,Mid,bigquery;fastapi;kdb+,100845.0,159745.0,130295.0,6,2024,10,4,346,2
20,Gates LLC,E-commerce,ML Engineer,r;cuda;power bi;aws,Mid,Internship,"Stevenhaven, BW",115578-207180,2024-08-29,Large,mlflow,115578.0,207180.0,161379.0,4,2024,8,3,397,1
21,"Whitaker, Walker and Sandoval",Retail,Quant Researcher,c++;power bi;r;sql;keras;azure,Entry,Remote,"Gregorymouth, LV",122521-175168,2024-01-19,Large,scikit-learn;bigquery;pytorch,122521.0,175168.0,148844.5,6,2024,1,1,620,0
22,Humphrey LLC,Retail,Quant Researcher,langchain;numpy;cuda;c++;mlflow;r,Entry,Full-time,"Lake Alexander, RU",62483-105216,2023-12-28,Large,pytorch;langchain,62483.0,105216.0,83849.5,6,2023,12,4,642,0
23,"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,cuda;fastapi;scikit-learn;mlflow;hugging face,Mid,Remote,"North Nicholas, SN",74317-148899,2024-11-25,Startup,pytorch;scikit-learn;kdb+,74317.0,148899.0,111608.0,5,2024,11,4,309,1
24,"Thomas, Hurst and Becker",Tech,NLP Engineer,pytorch;cuda;hugging face;flask;c++,Senior,Internship,"Leeton, MW",68115-125323,2023-12-06,Mid,scikit-learn,68115.0,125323.0,96719.0,5,2023,12,4,664,2
25,Sherman-Nguyen,Healthcare,NLP Engineer,python;reinforcement learning;mlflow,Mid,Internship,"Suzanneview, TW",89840-109693,2025-06-13,Mid,fastapi,89840.0,109693.0,99766.5,3,2025,6,2,109,1
26,Johnson-Keller,Finance,NLP Engineer,pytorch;reinforcement learning;fastapi;power bi;python;r,Mid,Remote,"Whitestad, BB",107786-126713,2024-12-20,Mid,fastapi;pytorch;kdb+,107786.0,126713.0,117249.5,6,2024,12,4,284,1
27,Le PLC,Education,Quant Researcher,azure;flask;fastapi;hugging face;power bi;python,Senior,Internship,"Taraburgh, DZ",44309-77284,2025-01-02,Large,tensorflow;scikit-learn;fastapi,44309.0,77284.0,60796.5,6,2025,1,1,271,2
28,"Abbott, Nielsen and Young",Healthcare,Data Analyst,r;python;pandas,Entry,Contract,"New Richard, TD",124616-172767,2025-02-28,Startup,pytorch;mlflow,124616.0,172767.0,148691.5,3,2025,2,1,214,0
29,Thomas-Ruiz,Finance,Data Analyst,flask;hugging face;pandas;python;scikit-learn;keras,Mid,Internship,"South Donaldton, GE",142616-216391,2025-01-31,Startup,scikit-learn;fastapi;langchain,142616.0,216391.0,179503.5,6,2025,1,1,242,1
30,"Good, Ware and Cruz",Finance,Data Analyst,scikit-learn;sql;azure,Entry,Contract,"North Michael, TT",70932-161568,2024-06-07,Startup,tensorflow,70932.0,161568.0,116250.0,3,2024,6,2,480,0
31,Gay PLC,Tech,Quant Researcher,keras;excel;tensorflow,Senior,Full-time,"Port Patriciaport, TG",54565-94461,2024-06-27,Startup,kdb+;pytorch,54565.0,94461.0,74513.0,3,2024,6,2,460,2
32,Kirby-Zuniga,Healthcare,Data Scientist,hugging face;scikit-learn;c++;excel;azure,Entry,Full-time,"Danielchester, ID",112660-179478,2023-09-22,Mid,langchain;kdb+,112660.0,179478.0,146069.0,5,2023,9,3,739,0
33,"Castillo, Campbell and Robinson",Tech,AI Product Manager,keras;pytorch;aws;fastapi;cuda,Mid,Contract,"Alexandriaburgh, KN",55330-104941,2024-09-30,Startup,tensorflow;scikit-learn,55330.0,104941.0,80135.5,5,2024,9,3,365,1
34,Carter LLC,Finance,NLP Engineer,mlflow;keras;sql;gcp;power bi,Senior,Internship,"West Charles, TT",110439-183071,2023-11-25,Startup,pytorch,110439.0,183071.0,146755.0,5,2023,11,4,675,2
35,Hall Group,Automotive,Computer Vision Engineer,gcp;c++;excel,Entry,Contract,"North Denise, MC",97714-134140,2024-04-01,Large,tensorflow;scikit-learn,97714.0,134140.0,115927.0,3,2024,4,2,547,0
36,Huynh PLC,Finance,Computer Vision Engineer,pytorch;langchain;r,Mid,Remote,"Kirbyside, LT",87250-156869,2023-12-25,Startup,scikit-learn;fastapi;mlflow,87250.0,156869.0,122059.5,3,2023,12,4,645,1
37,"Smith, Haas and Mendez",Retail,AI Researcher,excel;sql;python,Entry,Contract,"Lake John, AU",77074-163272,2024-11-16,Mid,scikit-learn;langchain;kdb+,77074.0,163272.0,120173.0,3,2024,11,4,318,0
38,"Briggs, Shaw and Berry",E-commerce,ML Engineer,sql;hugging face;tensorflow,Mid,Remote,"East Ashleyland, PL",116061-159814,2025-05-14,Startup,mlflow,116061.0,159814.0,137937.5,3,2025,5,2,139,1
39,Boyd PLC,Retail,Data Scientist,pytorch;power bi;aws;fastapi,Senior,Internship,"Port Misty, NL",87411-136106,2024-06-10,Mid,langchain,87411.0,136106.0,111758.5,4,2024,6,2,477,2
40,"Sanders, Mejia and Townsend",Automotive,Data Analyst,power bi;pytorch;gcp;cuda;keras;scikit-learn,Entry,Internship,"Deleonchester, HN",88562-159008,2025-06-27,Mid,fastapi;scikit-learn;langchain,88562.0,159008.0,123785.0,6,2025,6,2,95,0
41,Hernandez Inc,E-commerce,Quant Researcher,numpy;aws;excel;sql;keras,Senior,Remote,"Nicoleport, BF",41935-95608,2025-02-08,Mid,scikit-learn;tensorflow;bigquery,41935.0,95608.0,68771.5,5,2025,2,1,234,2
42,"Parrish, White and Grant",E-commerce,NLP Engineer,r;power bi;cuda;mlflow,Mid,Full-time,"Kimside, BW",126443-145937,2023-11-10,Startup,tensorflow,126443.0,145937.0,136190.0,4,2023,11,4,690,1
43,"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,numpy;sql;python;reinforcement learning;langchain,Entry,Full-time,"Simsside, TD",99978-189975,2024-09-05,Large,pytorch;tensorflow;fastapi,99978.0,189975.0,144976.5,5,2024,9,3,390,0
44,"Thomas, Waller and Kelly",Education,Quant Researcher,hugging face;flask;tensorflow;excel;sql,Entry,Contract,"South Jeremiah, MX",65214-151832,2025-03-11,Large,tensorflow;langchain;pytorch,65214.0,151832.0,108523.0,5,2025,3,1,203,0
45,"Franklin, Wright and Berg",Automotive,Quant Researcher,hugging face;pandas;cuda;langchain;fastapi,Mid,Internship,"Ramirezmouth, PK",71101-158421,2025-03-16,Mid,kdb+,71101.0,158421.0,114761.0,5,2025,3,1,198,1
46,"Coleman, Gray and Roach",Healthcare,ML Engineer,langchain;aws;gcp,Entry,Internship,"New Rachelmouth, IT",119200-129563,2025-02-14,Startup,fastapi;mlflow;tensorflow,119200.0,129563.0,124381.5,3,2025,2,1,228,0
47,Mooney-Decker,Finance,Data Scientist,scikit-learn;pytorch;flask;azure,Mid,Contract,"Jennyland, TR",122083-203812,2024-08-04,Startup,pytorch;bigquery,122083.0,203812.0,162947.5,4,2024,8,3,422,1
48,Wood LLC,Automotive,Computer Vision Engineer,gcp;tensorflow;power bi,Entry,Contract,"Port Johnville, MA",144773-159408,2025-02-21,Mid,mlflow;bigquery;langchain,144773.0,159408.0,152090.5,3,2025,2,1,221,0
49,Copeland Group,Education,NLP Engineer,tensorflow;langchain;pytorch;power bi;r,Entry,Remote,"North Josephshire, YE",78317-161397,2024-03-19,Mid,kdb+;pytorch;mlflow,78317.0,161397.0,119857.0,5,2024,3,1,560,0
50,Richards PLC,Finance,NLP Engineer,power bi;cuda;c++;pandas;sql;aws,Mid,Full-time,"Lewismouth, TD",75575-120477,2024-05-07,Large,fastapi;kdb+;scikit-learn,75575.0,120477.0,98026.0,6,2024,5,2,511,1
51,"Melendez, Williams and Williamson",E-commerce,AI Product Manager,tensorflow;keras;pytorch;aws;scikit-learn,Entry,Full-time,"Steinside, IT",133185-231638,2023-09-27,Large,bigquery,133185.0,231638.0,182411.5,5,2023,9,3,734,0
52,"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,azure;keras;scikit-learn;hugging face;excel;r,Entry,Contract,"North Jason, MR",73140-164506,2025-05-30,Mid,langchain;kdb+;fastapi,73140.0,164506.0,118823.0,6,2025,5,2,123,0
53,Foley-Moore,Finance,Data Scientist,keras;pandas;python;fastapi;cuda;scikit-learn,Mid,Contract,"Thomasfort, KG",69031-115150,2025-05-17,Large,mlflow,69031.0,115150.0,92090.5,6,2025,5,2,136,1
54,Wright and Sons,Tech,Quant Researcher,r;sql;python;pytorch,Mid,Full-time,"Chavezstad, TG",49382-141727,2024-11-09,Large,langchain;bigquery;mlflow,49382.0,141727.0,95554.5,4,2024,11,4,325,1
55,Williams-Vargas,Healthcare,Quant Researcher,keras;excel;fastapi;azure;r;pytorch,Senior,Full-time,"Carlland, ME",135916-233596,2024-11-10,Startup,fastapi;tensorflow;bigquery,135916.0,233596.0,184756.0,6,2024,11,4,324,2
56,Hill-Huff,Tech,ML Engineer,power bi;langchain;flask;excel;sql;cuda,Senior,Remote,"Jessicamouth, PT",149271-215582,2025-04-23,Startup,bigquery;pytorch;tensorflow,149271.0,215582.0,182426.5,6,2025,4,2,160,2
57,Meyer PLC,Education,Data Analyst,aws;excel;azure,Entry,Internship,"Caitlynmouth, MR",56348-123497,2023-11-16,Mid,langchain;scikit-learn;pytorch,56348.0,123497.0,89922.5,3,2023,11,4,684,0
58,Boyd-Carlson,Retail,ML Engineer,excel;aws;keras;azure;fastapi;r,Senior,Full-time,"Villarrealhaven, KI",69159-139847,2025-02-11,Large,mlflow;langchain,69159.0,139847.0,104503.0,6,2025,2,1,231,2
59,Scott-Gardner,Tech,AI Researcher,fastapi;c++;excel;flask;pandas,Senior,Remote,"North Laurie, BI",78305-162525,2025-06-21,Large,fastapi;pytorch;langchain,78305.0,162525.0,120415.0,5,2025,6,2,101,2
60,Jackson Group,Finance,AI Product Manager,tensorflow;c++;sql;hugging face;flask;power bi,Mid,Internship,"East Juliashire, TR",64238-115477,2023-09-25,Startup,bigquery,64238.0,115477.0,89857.5,6,2023,9,3,736,1
61,"Sullivan, Silva and Sawyer",Finance,Data Analyst,power bi;excel;gcp,Senior,Remote,"North Jonathan, NL",53583-148644,2024-06-27,Mid,mlflow,53583.0,148644.0,101113.5,3,2024,6,2,460,2
62,"Page, Bonilla and Cohen",Retail,AI Product Manager,python;fastapi;scikit-learn;hugging face;power bi;flask,Entry,Remote,"Port Jacobchester, SB",50457-126635,2024-05-08,Startup,langchain,50457.0,126635.0,88546.0,6,2024,5,2,510,0
63,Young-Wright,Retail,Computer Vision Engineer,hugging face;keras;scikit-learn,Mid,Internship,"Kaylaburgh, NO",97883-172449,2024-10-26,Large,tensorflow;langchain,97883.0,172449.0,135166.0,3,2024,10,4,339,1
64,Patel PLC,E-commerce,AI Product Manager,reinforcement learning;langchain;python,Entry,Remote,"South Jamie, KM",94965-141198,2025-02-17,Startup,fastapi,94965.0,141198.0,118081.5,3,2025,2,1,225,0
65,"Lopez, Nelson and Meyer",E-commerce,AI Researcher,azure;pandas;power bi;mlflow,Entry,Internship,"Lake Michelleport, RS",81202-154117,2025-01-06,Startup,pytorch;tensorflow;fastapi,81202.0,154117.0,117659.5,4,2025,1,1,267,0
66,"Harris, Porter and Walter",Retail,AI Researcher,c++;reinforcement learning;numpy;azure;mlflow;flask,Mid,Contract,"Port Kristenmouth, SA",106117-199125,2023-12-19,Large,fastapi;kdb+,106117.0,199125.0,152621.0,6,2023,12,4,651,1
67,Dominguez and Sons,Automotive,AI Product Manager,langchain;fastapi;sql,Senior,Internship,"Rodriguezstad, ET",137229-193525,2024-04-08,Large,bigquery;kdb+,137229.0,193525.0,165377.0,3,2024,4,2,540,2
68,Griffith-Garner,Retail,Data Analyst,numpy;python;azure;gcp;c++;scikit-learn,Senior,Remote,"Meredithview, LS",40995-54162,2024-12-21,Startup,pytorch,40995.0,54162.0,47578.5,6,2024,12,4,283,2
69,Smith LLC,Healthcare,Data Analyst,power bi;aws;numpy;cuda;mlflow,Mid,Full-time,"South Tylerhaven, LC",129140-193460,2023-12-09,Mid,langchain;pytorch;mlflow,129140.0,193460.0,161300.0,5,2023,12,4,661,1
70,Smith-Jones,Education,Data Analyst,langchain;pytorch;flask,Mid,Full-time,"South Karenville, BB",86690-120765,2025-06-15,Mid,bigquery,86690.0,120765.0,103727.5,3,2025,6,2,107,1
71,"Maddox, Steele and Jones",Retail,ML Engineer,flask;scikit-learn;numpy,Entry,Internship,"Billyfort, YE",85816-149983,2025-03-12,Mid,fastapi;pytorch,85816.0,149983.0,117899.5,3,2025,3,1,202,0
72,Williams PLC,Healthcare,Quant Researcher,sql;fastapi;langchain;scikit-learn;numpy;tensorflow,Senior,Remote,"New Jefferyfort, TG",60805-99890,2024-02-12,Startup,fastapi;langchain,60805.0,99890.0,80347.5,6,2024,2,1,596,2
73,"Hurst, Manning and Wood",Education,Data Analyst,azure;excel;tensorflow,Senior,Remote,"Petersenborough, VN",118377-137651,2025-05-02,Large,pytorch;bigquery;scikit-learn,118377.0,137651.0,128014.0,3,2025,5,2,151,2
74,"Howard, Carr and Joseph",Automotive,NLP Engineer,c++;mlflow;cuda;hugging face,Mid,Internship,"Leeberg, ME",81382-175328,2023-11-28,Large,mlflow;pytorch,81382.0,175328.0,128355.0,4,2023,11,4,672,1
75,Lewis-Smith,Automotive,ML Engineer,mlflow;numpy;r;c++;pytorch,Senior,Remote,"North Christopherfurt, LR",132555-209536,2025-09-09,Startup,kdb+,132555.0,209536.0,171045.5,5,2025,9,3,21,2
76,Luna and Sons,Automotive,AI Researcher,r;python;flask,Mid,Contract,"Weberland, TL",54185-86768,2023-12-06,Mid,fastapi;tensorflow;pytorch,54185.0,86768.0,70476.5,3,2023,12,4,664,1
77,King-Sheppard,E-commerce,AI Researcher,fastapi;hugging face;pytorch,Mid,Internship,"Zamorafurt, UA",101020-182230,2025-07-03,Startup,pytorch,101020.0,182230.0,141625.0,3,2025,7,3,89,1
78,Meyer-Shaffer,E-commerce,NLP Engineer,pandas;flask;fastapi;reinforcement learning,Mid,Internship,"Sharpborough, DM",49529-68621,2024-02-21,Startup,langchain;pytorch;scikit-learn,49529.0,68621.0,59075.0,4,2024,2,1,587,1
79,"Ellis, Page and Smith",Tech,Quant Researcher,reinforcement learning;flask;numpy;langchain,Entry,Contract,"North Carriestad, IR",88756-103530,2024-10-12,Startup,langchain,88756.0,103530.0,96143.0,4,2024,10,4,353,0
80,Martinez-Fitzgerald,Healthcare,ML Engineer,aws;tensorflow;flask;power bi,Senior,Internship,"South Charles, CI",108574-194850,2025-01-20,Large,kdb+,108574.0,194850.0,151712.0,4,2025,1,1,253,2
81,Johnson Inc,Education,AI Researcher,reinforcement learning;python;pandas;tensorflow,Mid,Internship,"Lake Kristen, AZ",111184-166588,2025-08-03,Large,scikit-learn;mlflow;pytorch,111184.0,166588.0,138886.0,4,2025,8,3,58,1
82,Camacho PLC,Finance,Data Analyst,r;c++;gcp;hugging face;langchain;tensorflow,Entry,Full-time,"Anthonyland, GQ",120456-210505,2024-01-14,Large,pytorch;scikit-learn;bigquery,120456.0,210505.0,165480.5,6,2024,1,1,625,0
83,Sweeney-Griffith,Finance,AI Product Manager,flask;azure;c++;excel,Entry,Internship,"Michaelchester, MK",86740-124608,2025-09-17,Mid,mlflow,86740.0,124608.0,105674.0,4,2025,9,3,13,0
84,"Stafford, Owens and Thompson",Education,Data Analyst,mlflow;hugging face;python;scikit-learn,Entry,Full-time,"Lake Debra, AM",78116-122008,2025-04-25,Mid,mlflow;langchain;kdb+,78116.0,122008.0,100062.0,4,2025,4,2,158,0
85,"Gonzalez, Watts and Thompson",E-commerce,Computer Vision Engineer,fastapi;sql;flask;cuda;c++;scikit-learn,Mid,Contract,"New Danielburgh, RU",42962-75277,2024-11-01,Startup,fastapi;langchain,42962.0,75277.0,59119.5,6,2024,11,4,333,1
86,Graham Group,Tech,Data Analyst,langchain;fastapi;pytorch;cuda;aws,Senior,Full-time,"Lake Melissaville, PL",51640-64834,2024-03-21,Large,bigquery;scikit-learn;mlflow,51640.0,64834.0,58237.0,5,2024,3,1,558,2
87,Ward-Allen,Education,Quant Researcher,c++;power bi;numpy,Mid,Contract,"Jeffreyburgh, SC",98118-167073,2024-09-10,Large,langchain;bigquery,98118.0,167073.0,132595.5,3,2024,9,3,385,1
88,"Garrett, Hernandez and Anderson",Finance,Quant Researcher,fastapi;scikit-learn;langchain,Mid,Internship,"Whiteville, SE",140819-222611,2023-11-16,Mid,langchain;mlflow,140819.0,222611.0,181715.0,3,2023,11,4,684,1
89,Long Inc,Finance,AI Researcher,flask;python;power bi;cuda,Entry,Internship,"Jacksonmouth, UZ",82496-127505,2025-03-23,Startup,fastapi;langchain;bigquery,82496.0,127505.0,105000.5,4,2025,3,1,191,0
90,Cummings-Nash,Finance,AI Researcher,python;sql;c++;fastapi,Entry,Internship,"Adamton, HR",124249-174855,2023-10-17,Startup,kdb+;langchain,124249.0,174855.0,149552.0,4,2023,10,4,714,0
91,"Sawyer, Donovan and Vargas",Automotive,NLP Engineer,tensorflow;power bi;fastapi;langchain;scikit-learn;python,Mid,Contract,"Lake Erica, NL",81426-145890,2023-10-19,Mid,bigquery;kdb+;langchain,81426.0,145890.0,113658.0,6,2023,10,4,712,1
92,"Stewart, Gutierrez and Simpson",Tech,Data Scientist,gcp;langchain;keras,Entry,Internship,"South Paige, VC",51104-130405,2025-03-21,Large,langchain;fastapi;scikit-learn,51104.0,130405.0,90754.5,3,2025,3,1,193,0
93,Jones-Marshall,Finance,NLP Engineer,excel;tensorflow;pandas;cuda,Entry,Remote,"Scottberg, MG",143177-155682,2025-08-26,Startup,mlflow;fastapi;tensorflow,143177.0,155682.0,149429.5,4,2025,8,3,35,0
94,Murphy-Rosales,Education,NLP Engineer,fastapi;pytorch;cuda;flask;scikit-learn,Mid,Remote,"West Jesse, NG",139393-162837,2025-07-13,Large,langchain;bigquery,139393.0,162837.0,151115.0,5,2025,7,3,79,1
95,Solis-Thornton,Healthcare,ML Engineer,hugging face;python;fastapi;cuda;gcp,Entry,Full-time,"East Autumn, AM",111746-137892,2024-10-10,Mid,langchain;bigquery,111746.0,137892.0,124819.0,5,2024,10,4,355,0
96,Michael Ltd,Healthcare,Computer Vision Engineer,pytorch;mlflow;scikit-learn;excel;pandas,Senior,Full-time,"Maldonadoville, PL",107083-124486,2025-08-09,Startup,langchain,107083.0,124486.0,115784.5,5,2025,8,3,52,2
97,Alexander and Sons,Education,AI Researcher,pandas;r;fastapi;aws;mlflow;python,Senior,Full-time,"Richardside, PY",126865-190621,2024-11-15,Startup,langchain;fastapi,126865.0,190621.0,158743.0,6,2024,11,4,319,2
98,"Travis, Fletcher and Rodriguez",Finance,Computer Vision Engineer,python;sql;power bi;scikit-learn;fastapi,Mid,Contract,"Port Julieburgh, KW",127896-227744,2023-12-18,Large,fastapi;kdb+;langchain,127896.0,227744.0,177820.0,5,2023,12,4,652,1
99,Lozano-Hill,Healthcare,Data Analyst,keras;numpy;excel;c++;pandas,Entry,Contract,"South Stephanieville, BS",133789-170501,2024-05-22,Large,tensorflow;bigquery,133789.0,170501.0,152145.0,5,2024,5,2,496,0
100,"Farmer, Leach and Norris",Retail,Computer Vision Engineer,keras;power bi;mlflow;aws,Mid,Contract,"Williamsbury, DO",126422-179630,2025-09-03,Mid,tensorflow,126422.0,179630.0,153026.0,4,2025,9,3,27,1
101,Price-Nichols,Healthcare,ML Engineer,pandas;mlflow;hugging face;sql,Entry,Contract,"South Fredview, PL",53156-131761,2025-07-22,Startup,tensorflow,53156.0,131761.0,92458.5,4,2025,7,3,70,0
102,"Gonzalez, Jackson and Williams",Retail,Data Scientist,hugging face;langchain;azure;scikit-learn;flask,Senior,Internship,"Heatherport, DO",76985-169306,2025-08-09,Large,kdb+;bigquery;mlflow,76985.0,169306.0,123145.5,5,2025,8,3,52,2
103,"Dodson, Palmer and Huber",Education,Quant Researcher,python;pandas;numpy;mlflow,Entry,Full-time,"Alejandromouth, CU",129308-160166,2025-02-26,Mid,kdb+,129308.0,160166.0,144737.0,4,2025,2,1,216,0
104,Morris-Sanchez,Finance,Data Scientist,power bi;gcp;scikit-learn,Senior,Internship,"New James, CR",112263-190554,2025-03-21,Mid,tensorflow,112263.0,190554.0,151408.5,3,2025,3,1,193,2
105,Cobb-Lindsey,E-commerce,NLP Engineer,fastapi;tensorflow;numpy;aws;azure,Entry,Contract,"West Madison, QA",147332-158887,2024-11-19,Mid,langchain;scikit-learn,147332.0,158887.0,153109.5,5,2024,11,4,315,0
106,Ramirez-Goodwin,Automotive,Computer Vision Engineer,cuda;pandas;gcp;langchain;azure;tensorflow,Mid,Full-time,"Tanyachester, TW",54559-121736,2025-04-04,Mid,kdb+;mlflow,54559.0,121736.0,88147.5,6,2025,4,2,179,1
107,Duran PLC,Healthcare,Computer Vision Engineer,keras;gcp;sql,Senior,Remote,"New David, EG",91427-154726,2023-10-03,Mid,bigquery;fastapi,91427.0,154726.0,123076.5,3,2023,10,4,728,2
108,Kaiser Group,Tech,AI Product Manager,power bi;fastapi;reinforcement learning;sql;keras;aws,Senior,Contract,"South Patricktown, NO",120983-167455,2025-03-30,Large,tensorflow;scikit-learn;mlflow,120983.0,167455.0,144219.0,6,2025,3,1,184,2
109,Garcia PLC,Education,ML Engineer,aws;hugging face;flask;cuda,Mid,Contract,"Sanfordmouth, GW",108083-168433,2024-02-06,Large,bigquery,108083.0,168433.0,138258.0,4,2024,2,1,602,1
110,Steele-Norman,Healthcare,Quant Researcher,azure;mlflow;excel;cuda,Mid,Contract,"Elainefurt, BS",43248-86711,2024-06-20,Mid,scikit-learn,43248.0,86711.0,64979.5,4,2024,6,2,467,1
111,Garcia Ltd,Education,AI Researcher,sql;flask;numpy;power bi;excel,Entry,Remote,"Brownstad, LU",73459-87186,2024-09-08,Large,kdb+,73459.0,87186.0,80322.5,5,2024,9,3,387,0
112,Hill LLC,Healthcare,AI Researcher,gcp;azure;reinforcement learning;tensorflow;cuda;fastapi,Mid,Contract,"Lake Christopher, QA",94345-157493,2024-07-24,Large,scikit-learn,94345.0,157493.0,125919.0,6,2024,7,3,433,1
113,"Morales, Thomas and Miller",Healthcare,NLP Engineer,python;fastapi;r,Mid,Full-time,"Millermouth, GY",113621-179602,2024-08-28,Mid,mlflow;scikit-learn;fastapi,113621.0,179602.0,146611.5,3,2024,8,3,398,1
114,Kelly-Novak,Finance,Data Scientist,scikit-learn;pandas;gcp;python;r,Entry,Full-time,"Nicoleside, AD",43828-137950,2025-05-20,Mid,kdb+,43828.0,137950.0,90889.0,5,2025,5,2,133,0
115,Martin-Hernandez,Tech,Quant Researcher,aws;python;gcp;r;c++;fastapi,Senior,Remote,"North Patrick, KE",118046-186961,2025-06-17,Startup,scikit-learn;tensorflow,118046.0,186961.0,152503.5,6,2025,6,2,105,2
